open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713052800000,63939.70,64297.10,63763.90,63883.60,6506.621,1713053699999,417064599.59830,88362,3548.863,227494041.61600,0
1713053700000,63883.90,64048.90,62880.20,63566.80,13835.674,1713054599999,877863292.07138,160422,6787.009,430750963.27170,0
1713054600000,63566.80,64267.90,63489.80,64095.70,6966.337,1713055499999,444833031.19322,91506,3613.719,230759974.55582,0
1713055500000,64094.20,64264.00,63530.40,63682.70,5245.822,1713056399999,334799376.41240,74002,2168.729,138433460.76160,0
1713056400000,63682.70,63807.60,63250.00,63511.70,6464.113,1713057299999,410334263.60740,76142,3225.723,204772336.95490,0
1713057300000,63511.80,63912.00,63407.70,63781.80,4656.921,1713058199999,296517277.71770,59888,2255.218,143641054.33690,0
1713058200000,63781.90,64081.00,63694.90,63862.70,2658.555,1713059099999,169863973.05070,49534,1310.270,83728184.58960,0
1713059100000,63862.80,63981.30,63645.90,63738.00,1905.103,1713059999999,121553785.46880,43926,945.941,60364156.14430,0
1713060000000,63738.10,63946.40,63572.40,63645.80,2227.876,1713060899999,142012508.82700,41006,1017.990,64889186.53730,0
1713060900000,63645.90,63653.50,63304.70,63498.80,3268.965,1713061799999,207419700.41610,52385,1664.138,105585313.89350,0
1713061800000,63498.80,63531.00,63033.00,63160.00,3651.703,1713062699999,230796134.55880,55697,1608.080,101634512.30440,0
1713062700000,63160.00,63355.30,63005.10,63085.10,3381.336,1713063599999,213531158.22640,49548,1703.974,107621574.67070,0
1713063600000,63085.00,63159.10,62139.30,62187.20,10942.259,1713064499999,684606742.77652,130886,4681.520,292773761.62860,0
1713064500000,62187.20,62832.00,62162.40,62732.40,7363.011,1713065399999,460788619.62170,89714,3868.526,242096062.48510,0
1713065400000,62732.40,63457.00,62683.50,63392.00,5623.304,1713066299999,355144442.22318,77268,3174.358,200456631.75938,0
1713066300000,63390.10,63586.60,63060.00,63428.70,3952.439,1713067199999,250177175.53650,55642,1964.150,124362379.99770,0
1713067200000,63428.50,63741.30,63383.30,63676.40,3714.528,1713068099999,236166409.64460,49847,1935.268,123044873.72190,0
1713068100000,63676.50,64164.00,63653.20,64126.40,6253.940,1713068999999,399792338.17212,76383,3103.189,198357436.70122,0
1713069000000,64126.40,64126.40,63807.90,63932.60,3689.038,1713069899999,235865755.15070,53078,1628.554,104130450.09500,0
1713069900000,63932.50,64100.00,63858.80,63954.10,1785.768,1713070799999,114243500.15140,41121,982.486,62857740.95940,0
1713070800000,63954.10,64398.90,63909.30,64371.90,3607.778,1713071699999,231638682.89100,58812,2153.832,138297850.89570,0
1713071700000,64372.00,64405.00,64016.20,64244.40,3529.001,1713072599999,226467387.06790,49608,1515.144,97227812.59410,0
1713072600000,64244.40,64449.20,64133.30,64389.30,2675.954,1713073499999,172140636.61640,49056,1183.343,76134862.51710,0
1713073500000,64389.30,64444.80,64240.00,64370.20,1658.900,1713074399999,106737701.49200,37091,760.648,48945188.50520,0
1713074400000,64370.30,64426.10,64090.90,64203.40,2337.976,1713075299999,150120954.65350,43134,843.801,54180490.71900,0
1713075300000,64203.40,64662.00,64110.00,64634.00,3480.644,1713076199999,224300655.56130,56939,2207.667,142306008.31320,0
1713076200000,64634.00,64869.00,64486.10,64819.90,3849.585,1713077099999,249106814.85214,57426,2155.123,139482478.30724,0
1713077100000,64819.90,64839.30,64532.50,64633.70,2862.439,1713077999999,185155016.48320,55149,1233.962,79820116.39720,0
1713078000000,64633.70,64820.00,64520.70,64630.60,2946.940,1713078899999,190624511.55110,45994,1477.450,95560485.02660,0
1713078900000,64630.60,64787.10,64506.80,64565.90,1729.764,1713079799999,111830857.69030,34271,632.872,40916301.14560,0
1713079800000,64565.80,64719.50,64528.00,64557.60,1458.755,1713080699999,94265831.15700,26212,596.746,38564076.11460,0
1713080700000,64557.60,64579.40,64232.10,64449.90,4531.437,1713081599999,291794420.08040,54477,2007.659,129282980.71220,0
1713081600000,64449.90,64620.80,64358.00,64586.80,1922.745,1713082499999,123999979.40280,33135,1139.843,73508266.81150,0
1713082500000,64586.80,64839.70,64488.20,64826.00,2539.480,1713083399999,164222273.13180,44085,1333.917,86275716.05920,0
1713083400000,64824.10,64891.60,64568.40,64628.10,2335.067,1713084299999,151191054.61110,39029,996.624,64542334.32530,0
1713084300000,64628.00,64628.00,64405.70,64512.00,2244.593,1713085199999,144766193.56040,43111,938.982,60565210.50150,0
1713085200000,64512.00,64710.70,64319.40,64398.00,2575.175,1713086099999,166085393.01190,43432,1173.463,75678372.52480,0
1713086100000,64397.90,64450.00,64165.40,64326.90,2452.614,1713086999999,157730605.81910,47644,1178.675,75800461.51060,0
1713087000000,64327.20,64443.70,63895.70,64081.20,4850.124,1713087899999,310918481.42142,69688,2169.531,139125315.01130,0
1713087900000,64081.10,64214.50,63936.00,64119.20,2869.001,1713088799999,183876416.19820,49905,1539.283,98661739.30720,0
1713088800000,64119.20,64325.70,64117.30,64293.00,2176.771,1713089699999,139839609.80010,40619,1272.214,81726815.66280,0
1713089700000,64293.00,64315.00,64118.30,64280.00,1329.229,1713090599999,85357303.05730,29232,626.627,40243914.29570,0
1713090600000,64280.00,64650.00,64279.90,64498.70,3474.563,1713091499999,224138797.45100,49080,2046.839,132025599.21600,0
1713091500000,64498.60,64579.30,64414.90,64443.60,1223.491,1713092399999,78885143.82450,26085,514.210,33155384.59530,0
1713092400000,64443.60,64580.00,64164.00,64231.90,2535.356,1713093299999,163080191.04620,45039,980.047,63050249.84390,0
1713093300000,64231.90,64242.00,63917.50,64101.70,3565.468,1713094199999,228350040.71340,57925,1718.014,110034459.45210,0
1713094200000,64101.60,64190.00,63850.00,63867.90,2283.179,1713095099999,146132101.93830,43200,933.319,59762080.98600,0
1713095100000,63868.00,64184.00,63867.90,64150.20,1855.619,1713095999999,118806231.49910,40808,1015.967,65057195.31350,0
1713096000000,64150.20,64410.70,64042.70,64197.40,2978.389,1713096899999,191352291.20300,46701,1550.271,99618697.42670,0
1713096900000,64197.40,64474.20,64197.40,64221.00,2772.842,1713097799999,178423771.10440,37749,1605.664,103333739.80610,0
1713097800000,64221.00,64500.00,64210.50,64471.30,1952.689,1713098699999,125755536.26520,31260,1057.734,68119232.35930,0
1713098700000,64471.30,64833.80,64350.00,64500.10,4897.311,1713099599999,316455850.11104,70477,2362.305,152683427.18824,0
1713099600000,64500.10,64846.10,64334.40,64679.70,4370.804,1713100499999,282507063.04950,64055,2333.973,150895096.66780,0
1713100500000,64679.70,64779.00,64512.50,64586.10,2411.868,1713101399999,155815499.80300,38953,1138.058,73534168.95200,0
1713101400000,64586.00,64631.40,64358.10,64454.00,2040.141,1713102299999,131512316.19160,35057,869.855,56077926.18990,0
1713102300000,64454.00,64557.20,64326.20,64357.40,1685.568,1713103199999,108560830.50000,35442,837.238,53930381.01620,0
1713103200000,64357.40,64391.40,63888.10,64026.50,5858.424,1713104099999,375389798.39692,86091,2577.364,165108231.60800,0
1713104100000,64026.50,64110.60,63809.20,63994.20,3769.672,1713104999999,241075798.53290,62409,1798.190,115016068.78920,0
1713105000000,63994.20,64173.50,63428.60,63830.50,11718.390,1713105899999,747031406.83720,131982,5265.202,335661043.96410,0
1713105900000,63830.40,63953.50,63613.90,63900.00,3704.288,1713106799999,236313348.89950,68702,1896.069,120960264.72610,0
1713106800000,63900.10,64141.30,63877.70,63988.10,3258.350,1713107699999,208634202.46270,53795,1785.363,114321302.50200,0
1713107700000,63988.10,64451.90,63912.60,64306.20,3562.426,1713108599999,228682037.38442,60767,2160.903,138729808.95162,0
1713108600000,64306.20,64479.10,63991.20,64089.30,3175.760,1713109499999,203907552.23340,52297,1365.227,87702287.58430,0
1713109500000,64089.20,64196.10,63985.00,64163.30,1768.441,1713110399999,113340055.14680,33904,858.556,55030416.56090,0
1713110400000,64163.30,64378.60,64100.60,64336.60,2452.649,1713111299999,157667730.88130,40394,1303.804,83817125.10290,0
1713111300000,64336.60,64686.80,64314.10,64608.70,3494.953,1713112199999,225425444.62780,58283,1971.049,127157046.53030,0
1713112200000,64608.60,64733.00,64340.50,64419.90,2825.964,1713113099999,182377947.30114,46135,1316.312,84978325.15034,0
1713113100000,64419.80,64468.00,64296.50,64398.60,1237.047,1713113999999,79623168.83200,29638,604.133,38886684.41790,0
1713114000000,64398.50,64568.00,63554.80,63733.30,7465.179,1713114899999,477802364.65212,86495,3029.593,193824876.46480,0
1713114900000,63733.30,63900.90,62550.00,63100.00,25836.030,1713115799999,1631180882.39598,248796,11462.585,723800615.58960,0
1713115800000,63100.00,64222.00,63056.10,63854.30,18059.926,1713116699999,1151701149.18772,203788,10165.999,648281802.95112,0
1713116700000,63854.40,64032.90,63555.20,63849.80,5815.974,1713117599999,371173579.17660,83712,2980.911,190263063.34900,0
1713117600000,63849.70,64340.00,63732.90,64233.30,5599.149,1713118499999,358749743.70612,76568,3356.972,215133918.56512,0
1713118500000,64233.00,64450.00,64057.80,64313.80,5145.971,1713119399999,330711720.30740,66324,2812.766,180799069.72340,0
1713119400000,64313.80,64693.50,64284.00,64475.80,4586.921,1713120299999,295935243.47780,66842,2594.165,167360711.72220,0
1713120300000,64475.80,64537.40,64332.60,64380.00,1791.584,1713121199999,115397345.90040,32144,871.107,56111483.58560,0
1713121200000,64377.90,64458.80,64050.30,64076.40,2287.425,1713122099999,146844693.14920,38916,873.391,56080065.81560,0
1713122100000,64076.40,64182.30,63918.50,63991.10,2307.567,1713122999999,147756628.43770,38566,1227.803,78627336.43940,0
1713123000000,63991.10,64299.50,63938.00,64246.10,2067.897,1713123899999,132673394.68040,31958,1349.711,86591692.73540,0
1713123900000,64246.00,64366.30,64116.00,64146.00,1138.996,1713124799999,73137133.82730,22685,573.617,36836133.50710,0
1713124800000,64146.00,64339.30,63921.90,64018.30,2932.482,1713125699999,188003184.17510,41019,1392.285,89272414.60180,0
1713125700000,64018.30,64137.60,63964.80,64109.40,1086.591,1713126599999,69605586.24480,23654,553.427,35454512.87160,0
1713126600000,64109.40,64242.70,64035.00,64099.30,1076.171,1713127499999,69018289.63860,23815,553.159,35480193.27160,0
1713127500000,64099.20,64102.00,63674.60,63825.00,3529.360,1713128399999,225283318.04750,47496,1466.693,93594337.17860,0
