open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713398400000,61254.5,61503.0,60900.0,61495.6,11116.828,1713401999999.0,680068387.8591,182042.0,5523.446,337956629.9935,0.0
1713402000000,61495.5,61650.0,61350.2,61618.7,7397.392,1713405599999.0,455040365.7777,134818.0,3426.106,210783413.1554,0.0
1713405600000,61618.8,61900.0,61408.4,61640.4,7980.643,1713409199999.0,492018230.68414,127882.0,3991.397,246130585.73714,0.0
1713409200000,61640.3,62194.8,61633.3,61953.5,12896.417,1713412799999.0,799480895.30098,179162.0,6694.583,415030538.06058,0.0
1713412800000,61953.6,62048.0,61520.1,61613.9,8342.463,1713416399999.0,515465063.205,136947.0,3671.767,226875189.6446,0.0
1713416400000,61613.8,61797.0,60938.6,61051.4,13194.891,1713419999999.0,810270782.42152,185010.0,6132.457,376782074.0734,0.0
1713420000000,61051.4,61298.0,60763.8,61127.3,14755.724,1713423599999.0,900846741.1839,207971.0,7867.21,480396282.705,0.0
1713423600000,61127.3,61347.2,60906.9,61154.7,8784.041,1713427199999.0,537048301.8512,161357.0,4596.872,281112922.0945,0.0
1713427200000,61154.6,61537.9,60824.2,61313.7,11786.658,1713430799999.0,721457497.5962,191619.0,5956.753,364650971.8737,0.0
1713430800000,61313.7,61681.8,61294.0,61608.4,8211.662,1713434399999.0,504989846.9844,146368.0,4274.984,262937688.3992,0.0
1713434400000,61608.4,61904.0,61465.8,61789.7,8196.565,1713437999999.0,505480225.69864,135404.0,4257.344,262602535.94604,0.0
1713438000000,61789.7,63049.9,61789.3,62563.0,32787.628,1713441599999.0,2051510422.98672,415395.0,17766.645,1111452927.94932,0.0
1713441600000,62563.0,62708.5,61558.0,62212.2,28356.896,1713445199999.0,1760521640.6465,327511.0,13320.424,827035396.6353,0.0
1713445200000,62212.2,62799.0,61853.3,62759.5,28190.897,1713448799999.0,1757040262.44236,353508.0,14563.692,907989608.85372,0.0
1713448800000,62759.5,63950.0,62518.7,63778.3,42128.112,1713452399999.0,2672473742.64018,577172.0,21374.699,1355840041.82088,0.0
1713452400000,63778.3,64100.0,63402.5,63474.0,20127.868,1713455999999.0,1283056793.7334,320873.0,10107.22,644417278.4488,0.0
1713456000000,63473.9,63857.5,63250.2,63500.0,16073.36,1713459599999.0,1020848434.6233,243771.0,8288.581,526512736.3334,0.0
1713459600000,63500.0,63595.5,62556.9,62755.2,18898.324,1713463199999.0,1191756492.94458,261998.0,8572.983,540742349.1983,0.0
1713463200000,62755.1,63193.5,62268.4,63074.1,21408.706,1713466799999.0,1343890727.80764,293362.0,11381.519,714672659.97128,0.0
1713466800000,63074.0,63542.1,63061.5,63438.0,12603.726,1713470399999.0,797714563.539,192949.0,6108.122,386635567.4254,0.0
1713470400000,63437.3,63611.0,63229.2,63460.8,7056.589,1713473999999.0,447388421.3407,129036.0,3278.824,207892824.9887,0.0
1713474000000,63460.8,63815.6,63275.0,63429.1,11103.84,1713477599999.0,705441598.9815,146505.0,5785.507,367635957.7729,0.0
1713477600000,63429.1,63629.1,63123.3,63471.9,8097.262,1713481199999.0,513198636.5674,121144.0,4217.451,267383776.8266,0.0
1713481200000,63471.9,63640.5,63339.5,63445.0,3805.902,1713484799999.0,241525678.1988,75700.0,1696.41,107663091.744,0.0
