open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1690848000000,29220.80,29277.00,29200.90,29272.30,4934.266,1690851599999,144272671.57760,49285,2739.515,80101767.81650,0
1690851600000,29272.30,29337.30,29155.30,29185.70,12283.595,1690855199999,359413832.76448,111857,5789.466,169455699.57418,0
1690855200000,29185.70,29207.20,28684.70,28917.40,49867.433,1690858799999,1442261589.57356,328085,20432.041,590839236.75730,0
1690858800000,28917.40,28942.20,28800.00,28820.10,21381.654,1690862399999,617384066.08570,156707,10034.039,289750885.91040,0
1690862400000,28820.10,28917.40,28785.30,28852.20,15579.996,1690865999999,449490204.56320,113858,8364.934,241341364.91400,0
1690866000000,28852.20,28914.30,28839.20,28910.60,7580.320,1690869599999,218941773.88100,67533,4352.085,125703688.68030,0
1690869600000,28910.50,28959.00,28891.90,28900.10,8482.130,1690873199999,245347255.82170,78527,4285.534,123964006.56260,0
1690873200000,28900.10,28931.20,28882.40,28921.20,7162.153,1690876799999,207033612.50580,68137,3716.461,107433280.93560,0
1690876800000,28921.20,28986.50,28896.90,28983.70,6875.450,1690880399999,198960732.89870,68602,3674.824,106347752.97660,0
1690880400000,28983.80,28985.90,28912.80,28916.90,5903.094,1690883999999,170837636.07230,59663,2417.956,69973148.48100,0
1690884000000,28916.80,28935.00,28880.10,28915.40,6733.379,1690887599999,194634608.99630,55358,3256.573,94139127.72820,0
1690887600000,28915.50,28919.50,28850.10,28853.00,6800.369,1690891199999,196383999.97350,61735,2976.452,85949689.17030,0
1690891200000,28852.90,28920.00,28715.00,28867.90,22506.376,1690894799999,649143759.33840,161314,11253.999,324700816.58360,0
1690894800000,28867.90,28906.50,28852.60,28857.00,7438.170,1690898399999,214799195.18370,80010,3812.902,110111844.03530,0
1690898400000,28857.00,28894.00,28772.60,28816.30,12798.888,1690901999999,369106128.42320,119838,5924.513,170869089.38220,0
1690902000000,28816.40,28973.60,28550.00,28942.90,50185.272,1690905599999,1444288279.50746,337362,24819.947,714711596.36560,0
1690905600000,28943.00,29046.20,28850.20,28922.10,28911.002,1690909199999,836960326.89920,207392,14029.951,406229131.72250,0
1690909200000,28922.20,28975.70,28916.00,28941.40,7971.152,1690912799999,230736008.95720,80009,4024.402,116492633.06540,0
1690912800000,28941.50,29269.00,28941.50,29261.50,34600.886,1690916399999,1007696043.50241,253823,19258.874,560891691.15201,0
1690916400000,29261.40,29330.00,29201.10,29263.60,26878.081,1690919999999,786439765.11453,198441,13151.456,384835952.55503,0
1690920000000,29263.50,29299.40,29170.00,29221.30,13583.720,1690923599999,396965920.60460,119583,6919.018,202200955.81940,0
1690923600000,29221.20,29315.00,29182.00,29235.00,9343.640,1690927199999,273167016.15100,88756,4751.468,138912700.24450,0
1690927200000,29235.10,29244.90,29188.70,29242.80,4698.263,1690930799999,137238706.32650,57106,2322.845,67851973.85700,0
1690930800000,29242.90,29735.00,29239.40,29701.20,69829.354,1690934399999,2059746912.12935,416285,39573.249,1167239812.89655,0
1690934400000,29701.20,29835.00,29673.60,29816.80,50073.392,1690937999999,1489779684.87244,347507,25683.980,764182707.28364,0
1690938000000,29816.70,30059.90,29778.00,29835.60,41354.861,1690941599999,1236910138.39984,319993,21002.037,628231623.41974,0
1690941600000,29835.60,29873.80,29777.00,29799.90,18379.529,1690945199999,548147403.75650,144610,8304.624,247687466.97960,0
1690945200000,29799.90,29809.90,29607.60,29622.50,23825.316,1690948799999,707807014.78548,181149,10585.837,314515020.90950,0
1690948800000,29622.50,29719.50,29575.20,29667.30,17604.012,1690952399999,521696771.46630,141672,9520.381,282168457.59610,0
1690952400000,29667.30,29668.10,29590.10,29645.10,8492.070,1690955999999,251578477.54550,76459,4194.151,124259101.32710,0
1690956000000,29645.10,29684.60,29552.30,29552.40,9476.601,1690959599999,280647581.75970,96749,4358.213,129092620.25230,0
1690959600000,29552.30,29643.70,29550.00,29570.10,9725.787,1690963199999,287887152.86460,98254,5034.956,149038856.60140,0
1690963200000,29570.20,29571.00,29360.00,29481.50,40734.058,1690966799999,1200408565.53744,277697,19750.246,582001734.65100,0
1690966800000,29481.50,29490.00,29410.60,29443.00,13486.414,1690970399999,397249343.36750,105959,5740.002,169081686.75140,0
1690970400000,29443.00,29532.10,29430.80,29525.00,9047.711,1690973999999,266789738.17160,84007,5227.277,154147525.24720,0
1690974000000,29525.00,29565.40,29489.40,29552.90,11896.781,1690977599999,351254719.70460,90677,6159.550,181875573.83470,0
1690977600000,29552.80,29599.00,29450.20,29451.10,15257.946,1690981199999,450445383.44830,121590,6397.728,188898039.67400,0
1690981200000,29451.00,29455.30,29331.30,29402.60,22139.147,1690984799999,650994310.09730,180381,10765.655,316593338.01910,0
1690984800000,29402.70,29405.50,29240.00,29263.00,30809.159,1690988399999,903052273.96993,249899,14166.165,415248004.80760,0
1690988400000,29263.00,29357.60,29156.00,29312.60,29711.374,1690991999999,869408237.52199,238392,14838.112,434244272.94590,0
1690992000000,29312.50,29357.00,28906.30,29014.20,56589.953,1690995599999,1647047025.74983,345993,24493.776,712950676.67790,0
1690995600000,29014.30,29249.20,28951.10,29137.40,35790.132,1690999199999,1042247640.18092,266861,18369.871,534962105.27712,0
1690999200000,29137.50,29153.20,29019.00,29138.00,14741.097,1691002799999,428875608.45500,136059,7061.207,205451529.17330,0
1691002800000,29138.00,29200.00,29118.20,29141.80,8766.663,1691006399999,255636927.18560,93153,4595.152,133999599.56410,0
1691006400000,29141.80,29161.70,29093.00,29129.90,5085.637,1691009999999,148153749.88050,58840,2645.052,77062369.69530,0
1691010000000,29129.90,29198.00,29050.30,29166.90,6469.960,1691013599999,188425776.21130,71331,3527.470,102734208.00900,0
1691013600000,29166.90,29229.10,29156.40,29174.00,7342.880,1691017199999,214386624.05460,66006,3960.015,115621254.16660,0
1691017200000,29174.00,29179.00,29120.70,29170.10,4925.012,1691020799999,143553538.35900,54704,2267.265,66086634.05610,0
1691020800000,29170.20,29216.40,29150.00,29158.10,5605.665,1691024399999,163582900.04200,57487,2952.417,86156266.38470,0
1691024400000,29158.00,29273.10,29141.90,29240.90,7458.198,1691027999999,217875952.56380,77695,3912.115,114285694.96590,0
1691028000000,29240.90,29261.90,29110.00,29160.50,7498.623,1691031599999,218792011.62160,76438,2969.064,86635589.02550,0
1691031600000,29160.50,29171.70,29116.00,29170.10,3568.617,1691035199999,104005989.62480,44623,1845.836,53798489.44030,0
1691035200000,29170.10,29185.20,29070.80,29126.10,6284.754,1691038799999,183067765.63950,62941,2830.273,82450369.14210,0
1691038800000,29126.20,29146.30,29078.00,29140.10,4269.141,1691042399999,124270001.94720,50236,2259.944,65786998.18110,0
1691042400000,29140.00,29148.00,29025.00,29076.80,7044.134,1691045999999,204935664.63820,66583,3196.460,93001640.57530,0
1691046000000,29076.70,29097.40,29005.00,29034.00,11285.888,1691049599999,327781818.99990,93968,5254.247,152614811.17600,0
1691049600000,29034.00,29115.90,28955.40,29110.90,17810.217,1691053199999,517288336.15420,143220,8802.012,255701545.46210,0
1691053200000,29110.90,29156.60,29094.50,29141.00,8704.578,1691056799999,253514001.65240,80558,4613.899,134385126.02950,0
1691056800000,29141.00,29193.50,29138.10,29161.80,6878.882,1691060399999,200606083.23280,61876,3748.726,109323619.69420,0
1691060400000,29161.80,29178.10,29114.50,29134.20,5877.276,1691063999999,171288049.27990,56506,2543.551,74132089.71170,0
1691064000000,29134.10,29157.40,29068.00,29097.20,8573.105,1691067599999,249553348.24320,75818,3635.464,105830134.97410,0
1691067600000,29097.20,29234.40,29095.30,29184.90,13530.675,1691071199999,394536119.20760,116636,7515.660,219164592.33280,0
1691071200000,29184.90,29440.00,29168.80,29380.10,31376.403,1691074799999,918928000.64618,236797,17915.186,524743168.32858,0
1691074800000,29380.00,29430.10,29185.00,29244.40,24873.108,1691078399999,728460473.00800,199229,10872.429,318407706.95720,0
1691078400000,29244.40,29320.80,29202.00,29286.70,13582.336,1691081999999,397427215.33000,108874,6479.878,189623066.82750,0
1691082000000,29286.60,29359.90,29212.00,29215.70,15252.993,1691085599999,446841847.19110,129847,6926.213,202947112.32300,0
1691085600000,29215.70,29259.80,29119.30,29255.20,14682.373,1691089199999,428627847.91310,115239,7359.544,214876058.17440,0
1691089200000,29255.10,29292.40,29203.80,29265.70,5740.970,1691092799999,167927346.44060,59562,2729.463,79840215.33750,0
1691092800000,29265.60,29352.40,29255.50,29293.80,12009.880,1691096399999,351905766.09700,104954,5996.605,175705647.20240,0
1691096400000,29293.80,29331.50,29217.00,29244.50,5879.957,1691099999999,172201057.66250,53162,2528.050,74041860.94740,0
1691100000000,29244.60,29260.20,29150.00,29220.80,10561.729,1691103599999,308360670.98750,97029,5006.636,146176678.39120,0
1691103600000,29220.80,29231.10,29178.60,29180.20,3618.440,1691107199999,105673580.57190,38403,1578.823,46110273.14230,0
1691107200000,29180.10,29244.40,29150.00,29222.10,7691.576,1691110799999,224521126.95050,68700,4079.527,119095921.74690,0
1691110800000,29222.00,29225.20,29174.60,29184.30,3674.430,1691114399999,107284878.63350,39019,1617.671,47233242.62290,0
1691114400000,29184.40,29199.90,29079.60,29150.10,8542.818,1691117999999,248964494.53412,78267,3471.368,101172365.56300,0
1691118000000,29150.20,29166.30,29120.00,29152.60,4539.937,1691121599999,132305473.47260,47990,2041.241,59490431.70820,0
1691121600000,29152.60,29199.50,29120.30,29199.40,3973.393,1691125199999,115861257.68810,39904,2450.431,71461648.20740,0
1691125200000,29199.40,29241.60,29186.70,29225.10,5015.343,1691128799999,146499144.64080,48383,2707.897,79100343.14800,0
1691128800000,29225.00,29243.90,29170.30,29184.80,5056.665,1691132399999,147688912.40690,48360,2060.635,60188297.46200,0
1691132400000,29184.70,29204.40,29153.60,29201.60,4828.040,1691135999999,140859824.39230,47047,2446.025,71368435.26810,0
1691136000000,29201.60,29250.00,29160.60,29172.10,7738.903,1691139599999,226045862.10770,66572,3724.992,108813654.60320,0
1691139600000,29172.00,29215.00,29160.00,29190.90,4466.668,1691143199999,130379108.28350,37820,2389.543,69749692.59650,0
1691143200000,29190.90,29191.00,29135.20,29152.80,5325.755,1691146799999,155314658.25400,44595,2502.627,72985193.68540,0
1691146800000,29152.80,29176.00,29121.30,29157.20,4982.912,1691150399999,145257135.50620,47102,2663.758,77655813.08290,0
1691150400000,29157.20,29263.20,29116.00,29208.70,16332.375,1691153999999,476638073.75610,139415,8777.845,256189107.25590,0
1691154000000,29208.70,29323.80,29196.00,29225.00,17595.302,1691157599999,514755653.33098,147855,8750.198,256011356.15488,0
1691157600000,29225.00,29275.20,29152.20,29240.40,13481.747,1691161199999,393835756.20320,120672,6500.043,189894094.05280,0
1691161200000,29240.40,29291.00,29215.40,29258.80,6306.972,1691164799999,184532590.74820,65895,3310.092,96855913.33540,0
1691164800000,29258.80,29273.60,29233.30,29251.70,4845.255,1691168399999,141720060.15330,51710,2063.350,60352778.60460,0
1691168400000,29251.60,29258.00,29181.80,29188.00,5003.886,1691171999999,146199822.45040,53480,1947.343,56891865.08330,0
1691172000000,29188.00,29188.00,28919.90,29048.10,38756.877,1691175599999,1126309113.25042,272987,17753.380,515950021.97850,0
1691175600000,29048.00,29096.00,29001.00,29021.00,12887.317,1691179199999,374316068.33820,109461,6362.155,184794350.98330,0
1691179200000,29021.00,29073.70,28780.00,28952.10,26033.209,1691182799999,753446896.08009,196005,11293.267,327017121.31540,0
1691182800000,28952.10,29094.90,28942.30,29042.50,12588.614,1691186399999,365532440.50470,112292,6990.890,202985718.99920,0
