open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713225600000,63392.80,63700.00,62899.90,63238.00,11642.912,1713229199999,736947973.25358,196514,5748.479,363890019.44890,0
1713229200000,63238.00,63879.60,63056.90,63113.10,11558.221,1713232799999,733326525.35520,176535,5873.905,372740226.12500,0
1713232800000,63112.90,63485.00,62711.00,63369.50,11197.962,1713236399999,706091103.66388,180647,5429.153,342406381.71820,0
1713236400000,63369.40,63525.00,62804.00,62937.60,9302.574,1713239999999,587175298.94770,159144,4461.398,281550311.97740,0
1713240000000,62937.60,63021.40,61651.80,62464.40,32852.543,1713243599999,2047572994.07664,397929,14931.317,930397621.10766,0
1713243600000,62464.30,62874.50,62342.00,62682.80,11199.388,1713247199999,701231445.42520,181678,5797.559,363057657.87460,0
1713247200000,62682.70,63236.70,62612.60,63172.30,9312.973,1713250799999,586351064.52458,146096,5201.849,327537429.88698,0
1713250800000,63172.20,63786.30,63076.00,63487.90,15047.660,1713254399999,954418958.40600,204446,7745.318,491365585.90130,0
1713254400000,63488.00,63646.90,63051.50,63265.60,8664.370,1713257999999,548494450.32110,149324,3989.592,252592986.64940,0
1713258000000,63265.60,63556.00,63164.90,63220.00,6973.157,1713261599999,441633021.72300,123815,3402.993,215574904.80120,0
1713261600000,63220.00,63317.30,61521.00,62534.20,46004.034,1713265199999,2865475974.85652,528861,21931.511,1365885953.04726,0
1713265200000,62534.10,63249.30,62323.80,63064.60,19290.018,1713268799999,1210096968.16678,273550,10503.006,659069801.45618,0
1713268800000,63064.60,63399.70,62774.20,63017.30,14958.100,1713272399999,942951352.88970,239283,7119.453,448900760.25390,0
1713272400000,63017.20,63314.70,62100.60,62665.00,31975.333,1713275999999,2004814950.87554,410445,15559.544,975678817.26530,0
1713276000000,62666.00,63079.40,61987.10,62064.90,27120.474,1713279599999,1694960773.17804,385707,13128.701,820812908.53788,0
1713279600000,62064.80,62391.80,61704.70,61749.20,24404.463,1713283199999,1513740375.02144,363056,12110.645,751395648.07570,0
1713283200000,61749.20,62729.00,61680.00,62721.90,24897.772,1713286799999,1544366868.55326,341240,13669.396,848241020.73976,0
1713286800000,62721.90,63277.10,62256.90,62472.30,25940.479,1713290399999,1627765524.08144,382531,12904.666,809911220.98278,0
1713290400000,62472.20,63015.00,62405.40,62979.40,14571.242,1713293999999,914157696.15708,240408,7594.364,476478121.90928,0
1713294000000,62979.40,63080.00,62621.60,62691.00,8359.258,1713297599999,525276653.16670,165471,3795.416,238546226.25530,0
1713297600000,62690.90,63040.70,62519.30,62998.00,6354.824,1713301199999,399094788.16250,102761,3352.088,210576228.35390,0
1713301200000,62997.90,64356.30,62942.20,63977.30,22051.396,1713304799999,1404274420.00052,271426,12245.497,779564110.66382,0
1713304800000,63977.00,64056.00,63581.20,63751.60,7573.176,1713308399999,482952790.43540,114745,3620.486,230857735.91730,0
1713308400000,63751.70,63855.00,63584.70,63765.00,4679.110,1713311999999,298189655.12440,80903,2286.651,145726272.60900,0
